project,status,output,error,build_time_sec,run_time_sec
5807648,build_failed,,"ds build-essential gcc
  11 |     
  12 | >>> RUN if [ -s /app/requirements.txt ]; then pip install --no-cache-dir -r /app/requirements.txt; fi
  13 |     
  14 |     CMD [""python"", ""snippet.py""]
--------------------
ERROR: failed to solve: process ""/bin/sh -c if [ -s /app/requirements.txt ]; then pip install --no-cache-dir -r /app/requirements.txt; fi"" did not complete successfully: exit code: 1",2.79,
5807746,success,,,7.25,0.95
5819145,success,,,6.79,0.75
5823693,exception,,'NoneType' object is not subscriptable,10.87,
5849790,success,,,6.76,0.8
5855372,runtime_error,,"File ""/app/snippet.py"", line 39
    print r.content
    ^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",7.02,0.95
5856269,success,,,7.15,0.91
5858518,success,,,7.25,0.96
5859643,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 20, in <module>
    import scipy.spatial.distance as ssd
ModuleNotFoundError: No module named 'scipy'",13.2,1.05
5862530,success,,,7.53,0.9
5875326,runtime_error,,"File ""/app/snippet.py"", line 89
    except pycurl.error, e:
           ^^^^^^^^^^^^^^^
SyntaxError: multiple exception types must be parenthesized",6.4,0.91
5875346,success,,,4.65,0.77
5881137,success,,,7.44,0.82
5882966,success,,,6.99,1.02
5886984,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 6, in <module>
    from zipline.gens.utils import hash_args
ModuleNotFoundError: No module named 'zipline'",12.97,1.24
5888967,success,,,15.33,1.41
5889795,runtime_error,,"File ""/app/snippet.py"", line 82
    print m, c
    ^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",14.99,0.98
5898352,exception,,'NoneType' object is not subscriptable,3.82,
5907109,success,,,7.26,1.02
5911624,runtime_error,,"/app/snippet.py:1: DeprecationWarning: Please import `gaussian_kde` from the `scipy.stats` namespace; the `scipy.stats.kde` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.stats.kde import gaussian_kde
Traceback (most recent call last):
  File ""/app/snippet.py"", line 2, in <module>
    import pymc
ModuleNotFoundError: No module named 'pymc'",21.27,1.65
5924965,success,,,15,1.1
5951030,runtime_error,,"/local/lib/python3.9/urllib/request.py"", line 494, in _call_chain
    result = func(*args)
  File ""/usr/local/lib/python3.9/urllib/request.py"", line 1375, in http_open
    return self.do_open(http.client.HTTPConnection, req)
  File ""/usr/local/lib/python3.9/urllib/request.py"", line 1349, in do_open
    raise URLError(err)
urllib.error.URLError: <urlopen error [Errno -2] Name or service not known>",4.26,1.16
5953776,runtime_error,,"File ""/app/snippet.py"", line 62
    if t.tm_sec <> self.sec:
                ^^
SyntaxError: invalid syntax",13.38,0.97
5969656,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 2, in <module>
    from LaunchServices import LSSetDefaultHandlerForURLScheme
ModuleNotFoundError: No module named 'LaunchServices'",13.31,1.03
5981683,exception,,'NoneType' object is not subscriptable,3.17,
5984815,success,,,7.19,1.14
5996074,success,,,19.25,1.64
6003874,success,,,7.87,1.49
6005981,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
6027183,success,,,16.86,1.69
6027504,success,,,8.11,1.49
6038174,exception,,'NoneType' object is not subscriptable,3.34,
6038468,exception,,'NoneType' object is not subscriptable,3.05,
6040840,success,,,20.24,2.17
6044677,exception,,'NoneType' object is not subscriptable,2.98,
6069808,success,,,28.63,2.08
6074452,success,,"2025-10-11 07:16:45.870446: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 07:16:45.871175: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",100.6,3.5
6085344,success,,,18.92,1.69
6087798,exception,,'NoneType' object is not subscriptable,3.52,
6092292,exception,,'NoneType' object is not subscriptable,3.02,
6097195,success,,,14.23,1.26
6102062,exception,,'NoneType' object is not subscriptable,2.85,
6103019,success,,,8.31,1.34
6105220,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
6145546,success,,,8.1,1.5
6146161,success,,,7.5,1.69
6156601,success,,"/app/snippet.py:2: DeprecationWarning: Please import `map_coordinates` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import map_coordinates
/app/snippet.py:3: DeprecationWarning: Please import `gaussian_filter` from the `scipy.ndimage` namespace; the `scipy.ndimage.filters` namesp",15.82,1.52
6162321,success,,,13.1,1.34
6165747,runtime_error,,"File ""/app/snippet.py"", line 157
    print violation_max / violation_init
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(violation_max / violation_init)?",7.74,0.98
6168003,exception,,'NoneType' object is not subscriptable,3.09,
6175388,exception,,'NoneType' object is not subscriptable,5.59,
6194556,success,,,6.17,1.97
6194738,success,,,6.79,0.75
6201049,success,,,6.76,0.8
6202539,success,,,7.15,0.91
6229929,runtime_error,,"File ""/app/snippet.py"", line 35
    print ""> sonar-runner "" + '-Dsonar.projectDate={0}'.format(date.date().isoformat())
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",3.77,0.95
6258303,exception,,'NoneType' object is not subscriptable,3.28,
6280390,runtime_error,,"in __getattr__
    self._setup(name)
  File ""/usr/local/lib/python3.9/site-packages/django/conf/__init__.py"", line 60, in _setup
    raise ImproperlyConfigured(
django.core.exceptions.ImproperlyConfigured: Requested setting INSTALLED_APPS, but settings are not configured. You must either define the environment variable DJANGO_SETTINGS_MODULE or call settings.configure() before accessing settings.",7.29,1.32
6309113,runtime_error,,"File ""/app/snippet.py"", line 19
    print ""Max x: "" + str(numpy.max(score_x)) + "" y: "" + str(numpy.max(score_y))
          ^
SyntaxError: invalid syntax",7.94,0.96
6327611,runtime_error,,"File ""/app/snippet.py"", line 51
    print source.format
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(source.format)?",13.57,1.07
6333547,success,,,7.25,0.96
6337361,runtime_error,,"File ""/app/snippet.py"", line 28
    print SiteRepository.get_by_id(1)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",6.87,0.92
6366854,success,,,7.53,0.9
6374514,exception,,'NoneType' object is not subscriptable,6.8,
6404683,runtime_error,,"File ""/app/snippet.py"", line 36
    if debug: print 'referer_url: %s' % referer_url
                    ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print('referer_url: %s' % referer_url)?",14.23,0.98
6408165,success,,"2025-10-11 04:50:06.835601: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 04:50:06.835983: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",95.34,3.08
6426282,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 19, in <module>
    from statsmodels.regression.linear_model import OLS, OLSResults
ModuleNotFoundError: No module named 'statsmodels'",13.05,1.29
6462976,success,,,6.99,1.02
6472432,success,,,16.58,1.14
6483510,success,,,15,1.1
6499135,success,,,7.19,1.14
6504557,success,,,16.33,1.16
6507189,exception,,'NoneType' object is not subscriptable,3.11,
6530635,exception,,'NoneType' object is not subscriptable,3.07,
6532334,success,,,6.96,1.22
6536381,success,,"2025-10-11 05:55:26.538026: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 05:55:26.538432: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",92.15,3.72
6551668,runtime_error,,"File ""/app/snippet.py"", line 15
    print ""Usage: %s hostname1 [hostname2] [hostname3] ..."" % sys.argv[0]
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(""Usage: %s hostname1 [hostname2] [hostname3] ..."" % sys.argv[0])?",6.11,1.03
6562886,runtime_error,,"File ""/app/snippet.py"", line 83
    print ""Path could not be found!""
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(""Path could not be found!"")?",13.64,1
6576933,exception,,'NoneType' object is not subscriptable,2.87,
6606487,success,,,15.13,1.37
6622928,success,,,15.33,1.41
6623972,success,,,19.25,1.64
6625609,exception,,'NoneType' object is not subscriptable,3.07,
6649639,exception,,'NoneType' object is not subscriptable,2.65,
6679768,success,,,7.01,1.14
6695625,success,,,16.43,1.58
6718314,success,,,17.34,1.18
6719172,success,,,18.18,1.19
6754465,exception,,'NoneType' object is not subscriptable,5.15,
6770178,exception,,'NoneType' object is not subscriptable,2.93,
6771295,runtime_error,,"File ""/app/snippet.py"", line 36
    print ""access_token: %s"" % credentials.access_token
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(""access_token: %s"" % credentials.access_token)?",4.38,0.96
6776391,success,,,4.89,1.07
6815711,runtime_error,,"File ""/app/snippet.py"", line 19
    print ""Without RefSeq: %i/%i"" % (sum(no_refseq), len(no_refseq))
          ^
SyntaxError: invalid syntax",13.49,1.02
6838974,runtime_error,,"File ""/app/snippet.py"", line 116
    print ""Usage: %s [-d output] [--dry-run] [--rename] filenames"" % sys.argv[0]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",13.26,1
6856389,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 10, in <module>
    from PyQt5 import QtWidgets
ImportError: libGL.so.1: cannot open shared object file: No such file or directory",12.67,1.08
6869344,exception,,'NoneType' object is not subscriptable,3.22,
6874944,success,Not Set ItemId,,16.91,1.19
6947661,runtime_error,,"File ""/app/snippet.py"", line 16
    print getLikes(args[0])
          ^
SyntaxError: invalid syntax",4.97,1.01
6987693,success,,,8.41,1.6
7002279,exception,,'NoneType' object is not subscriptable,3.09,
7002396,success,,,7.01,1.14
7003083,runtime_error,,"File ""/app/snippet.py"", line 65
    print r, alpha, a, b
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(r, alpha, a, b)?",15.13,1.1
7015554,success,,,3.95,1.07
7020937,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 7, in <module>
    import cv2
ModuleNotFoundError: No module named 'cv2'",18.69,1.14
7025496,success,,,16.43,1.58
7026954,success,,,7.15,0.91
7091940,success,,,4.65,0.77
7103585,success,,,7.26,1.02
7131838,success,,,17.34,1.18
7131909,exception,,'NoneType' object is not subscriptable,3.43,
7157510,success,,,7.19,1.14
7183354,success,,,6.84,1.01
7228939,success,,,19.87,1.82
7230348,success,,,7.25,1.11
7234995,success,,,15.13,1.37
7270594,success,,,7.17,1.05
7275456,exception,,'NoneType' object is not subscriptable,3.5,
7285154,success,,,15.33,1.41
7301722,exception,,'NoneType' object is not subscriptable,4.81,
7304099,exception,,'NoneType' object is not subscriptable,3.36,
7310160,exception,,'NoneType' object is not subscriptable,3.14,
7344542,success,,,18.18,1.19
7365980,success,,,3.95,1.07
7398239,exception,,'NoneType' object is not subscriptable,9.93,
7443646,exception,,'NoneType' object is not subscriptable,3.81,
7447067,runtime_error,,"Traceback (most recent call last):
  File ""snippet.py"", line 2, in <module>
    from scipy.stats import *
ModuleNotFoundError: No module named 'scipy'",17.06,1.99
7466823,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 2, in <module>
    import gdb
ModuleNotFoundError: No module named 'gdb'",13.57,1.18
7495576,success,,,7.87,1.49
7524815,exception,,'NoneType' object is not subscriptable,3.36,
7535869,success,,,4.89,1.07
7540117,success,,,8.41,1.6
7551089,success,,,16.86,1.69
7571752,exception,,'NoneType' object is not subscriptable,3.3,
7578539,runtime_error,,"File ""/app/snippet.py"", line 112
    print ""CTR: "" + str(ctr)
          ^
SyntaxError: invalid syntax",23.52,1.15
7622246,exception,,'NoneType' object is not subscriptable,3.37,
7639387,success,,,28.63,2.08
7652081,success,,"2025-10-11 07:16:45.870446: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 07:16:45.871175: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",100.6,3.5
7653403,success,,,18.92,1.69
7669374,success,,,162.92,2.28
7671688,success,,,14.23,1.26
7680498,success,,,7.86,1.76
7692685,runtime_error,,"File ""/app/snippet.py"", line 56
    print ""How to use Gensim to compute TF-IDF similarity step by step""
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",14.9,1.16
7698491,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
7703144,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 3, in <module>
    from django.conf import settings
ModuleNotFoundError: No module named 'django'",14.59,1.12
7704845,success,,,8.1,1.5
7716005,exception,,'NoneType' object is not subscriptable,3.22,
7719245,runtime_error,,"File ""/app/snippet.py"", line 711
    print ""Error:"", X_err
    ^^^^^^^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",13.22,1.1
7720207,success,,,13.1,1.34
7752095,success,,,6.17,1.97
7785749,success,,,7.25,0.95
7804540,exception,,'NoneType' object is not subscriptable,3.2,
7805193,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 1, in <module>
    from django.contrib.gis.db import models
ModuleNotFoundError: No module named 'django'",13.4,1.09
7814472,exception,,'NoneType' object is not subscriptable,10.61,
7820246,success,,,7.25,0.96
7854404,success,,"2025-10-11 04:50:06.835601: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 04:50:06.835983: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",95.34,3.08
7870550,exception,,'NoneType' object is not subscriptable,2.71,
7946246,exception,,'NoneType' object is not subscriptable,3.61,
7946961,exception,,'NoneType' object is not subscriptable,3.18,
7955963,success,,,7.26,1.02
7977513,success,,,15,1.1
8035611,exception,,'NoneType' object is not subscriptable,2.9,
8036995,runtime_error,,"File ""/app/snippet.py"", line 97
    print ""--""
    ^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",24,1.38
8054226,success,,,18.18,1.19
8069261,exception,,'NoneType' object is not subscriptable,3.26,
8086892,runtime_error,,"r/local/lib/python3.9/site-packages/jinja2/defaults.py"", line 3, in <module>
    from .filters import FILTERS as DEFAULT_FILTERS  # noqa: F401
  File ""/usr/local/lib/python3.9/site-packages/jinja2/filters.py"", line 13, in <module>
    from markupsafe import soft_unicode
ImportError: cannot import name 'soft_unicode' from 'markupsafe' (/usr/local/lib/python3.9/site-packages/markupsafe/__init__.py)",4.73,1.15
8096192,success,Not Set ItemId,,16.91,1.19
8112114,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
8149412,success,,,8.11,1.49
8171599,success,,"2025-10-11 07:16:45.870446: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 07:16:45.871175: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",100.6,3.5
8179471,success,,,18.92,1.69
8183993,success,,,14.23,1.26
8184301,success,,,7.86,1.76
8219574,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
8232376,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 42, in <module>
    main()
  File ""/app/snippet.py"", line 30, in main
    if argv[0] in MODES:
IndexError: list index out of range",4.09,1.08
8249238,success,,,8.1,1.5
8249328,success,,,7.5,1.69
8263132,success,,,13.1,1.34
8285428,success,,,6.17,1.97
8321212,exception,,'NoneType' object is not subscriptable,2.94,
8383050,success,,,4.65,0.77
8412843,success,,,16.58,1.14
8414494,runtime_error,,"File ""/app/snippet.py"", line 109
    print af
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(af)?",14.42,1.14
8420193,exception,,'NoneType' object is not subscriptable,3.12,
8428798,success,,,15,1.1
8444323,success,,,6.84,1.01
8447221,success,,,16.33,1.16
8450931,success,,"2025-10-11 05:55:26.538026: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 05:55:26.538432: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",92.15,3.72
8460004,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 12, in <module>
    from celery.backends import BACKEND_ALIASES
ImportError: cannot import name 'BACKEND_ALIASES' from 'celery.backends' (/usr/local/lib/python3.9/site-packages/celery/backends/__init__.py)",5.81,1.55
8477219,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 1, in <module>
    from django.db import connection, models
ModuleNotFoundError: No module named 'django'",15.08,1.16
8481824,exception,,'NoneType' object is not subscriptable,3.88,
8513270,success,,,19.87,1.82
8543933,exception,,'NoneType' object is not subscriptable,3.53,
8555125,exception,,'NoneType' object is not subscriptable,3.3,
8577232,success,,,7.25,1.11
8585400,success,,,15.13,1.37
8588668,success,,,7.17,1.05
8617378,exception,,'NoneType' object is not subscriptable,3.35,
8621775,exception,,'NoneType' object is not subscriptable,3.51,
8638475,runtime_error,,"File ""/app/snippet.py"", line 31
    print 'Press any key to exit...'
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",4.36,1.2
8659759,success,,,19.25,1.64
8662660,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 15, in <module>
    from utils import Pw, product, memo
ImportError: cannot import name 'Pw' from 'utils' (/usr/local/lib/python3.9/site-packages/utils/__init__.py)",15.86,1.15
8664457,exception,,'NoneType' object is not subscriptable,3.03,
8678538,exception,,'NoneType' object is not subscriptable,4.86,
8715089,success,,,16.43,1.58
8722026,success,,,17.34,1.18
8752582,success,,,18.18,1.19
8792346,success,,,7.87,1.49
8803860,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
8807124,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 5, in <module>
    from PIL import Image
ModuleNotFoundError: No module named 'PIL'",8.22,1.15
8831412,exception,,'NoneType' object is not subscriptable,8.17,
8832970,success,,,8.41,1.6
8838751,success,,,16.86,1.69
8877450,success,,,8.11,1.49
8883307,success,"iter 1 violation 1.0
iter 2 violation 0.9275458043179818
iter 3 violation 0.8160522950492526
iter 4 violation 0.6990455291229618
iter 5 violation 0.6393618992982688
iter 6 violation 0.5957671717992999
iter 7 violation 0.5362919287445385
iter 8 violation 0.47177217115298603
iter 9 violation 0.44812761767941456
iter 10 violation 0.3834613038353731
iter 11 violation 0.32486115892212175
iter 12 violat",,20.24,2.17
8907544,success,,,162.92,2.28
8916745,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 4, in <module>
    from flask import Flask, Response, request, abort, render_template_string, send_from_directory
ModuleNotFoundError: No module named 'flask'",27.29,1.26
8917867,exception,,'NoneType' object is not subscriptable,3.12,
8951985,success,,,14.23,1.26
8969259,success,,,8.31,1.34
8982669,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
8983536,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 2, in <module>
    import rasterio
  File ""/usr/local/lib/python3.9/site-packages/rasterio/__init__.py"", line 25, in <module>
    from rasterio._base import DatasetBase
ImportError: libexpat.so.1: cannot open shared object file: No such file or directory",13.15,1.35
9000222,success,,,6.99,1.02
9026148,success,,,16.58,1.14
9040475,exception,,'NoneType' object is not subscriptable,3.22,
9098744,success,,"2025-10-11 05:55:26.538026: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 05:55:26.538432: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",92.15,3.72
9132441,success,,,7.25,1.11
9218791,runtime_error,,"_conversions.py"", line 159, in decorator
    _conversion_manager.add_type_conversion(start_type, target_type, f)
  File ""/usr/local/lib/python3.9/site-packages/colormath/color_conversions.py"", line 125, in add_type_conversion
    self.conversion_graph.add_edge(start_type, target_type, {'conversion_function': conversion_function})
TypeError: add_edge() takes 3 positional arguments but 4 were given",11.93,1.43
9301467,success,,,19.25,1.64
9343730,success,,,16.43,1.58
9345872,exception,,'NoneType' object is not subscriptable,5.16,
9358479,exception,,'NoneType' object is not subscriptable,3.03,
9372073,success,,,17.34,1.18
9378601,exception,,'NoneType' object is not subscriptable,3.17,
9397410,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 1, in <module>
    from execute import execute, Retcode
ModuleNotFoundError: No module named 'execute'",14.6,1.19
9481236,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
9497761,exception,,'NoneType' object is not subscriptable,3.19,
9502024,success,,,16.86,1.69
9542707,success,,,8.11,1.49
9667052,success,,,14.23,1.26
9673839,success,,,8.31,1.34
9674216,exception,,'NoneType' object is not subscriptable,3,
9679647,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
9709984,success,,,6.17,1.97
9716578,success,,,7.25,0.95
9747287,exception,,'NoneType' object is not subscriptable,3.43,
9842903,success,,,7.53,0.9
9874480,exception,,'NoneType' object is not subscriptable,2.94,
9875439,exception,,'NoneType' object is not subscriptable,3.29,
